i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,1.0,1.1593939393939396,0.09523809523809523,10.219999999999999,2.8595887458732294,1.0,0.0,0.0
1,5,1.0,1.0404848484848486,0.0761904761904762,31.380000000000003,3.7705285430195734,1.0,0.0,0.0
2,5,1.0,1.9366060606060607,0.09523809523809523,40.62,7.224190092885416,1.0,0.0,0.0
3,5,1.0,1.5738787878787877,0.08571428571428572,19.46,4.750940063891507,1.0,0.0,0.0
4,5,1.0,1.1703030303030304,0.09523809523809523,5.7,3.1223373778112973,1.0,0.0,0.0
5,5,1.0,1.529757575757576,0.06666666666666667,6.279999999999999,4.570296451356031,1.0,0.0,0.0
6,5,1.0,1.061969696969697,0.09523809523809523,19.119999999999997,5.033653150717874,1.0,0.0,0.0
7,5,1.0,1.045878787878788,0.09523809523809523,10.3,2.818986014182425,1.0,0.0,0.0
8,5,1.0,1.4481212121212121,0.0761904761904762,25.72,3.4271071672422875,1.0,0.0,0.0
9,5,1.0,0.9972121212121212,0.09523809523809523,12.66,3.7311857418366086,1.0,0.0,0.0
10,5,1.0,1.088969696969697,0.09523809523809523,4.000000000000001,2.8023309427574667,1.0,0.0,0.0
11,5,1.0,0.6353333333333333,0.08571428571428572,9.499999999999996,4.808633391318041,1.0,0.0,0.0
12,5,1.0,1.205090909090909,0.09523809523809523,9.66,2.507117089080521,1.0,0.0,0.0
13,5,1.0,1.3262424242424242,0.09523809523809523,9.079999999999998,3.3706579775815264,1.0,0.0,0.0
14,5,1.0,1.2878787878787878,0.0761904761904762,3.779999999999999,1.9636419297788186,1.0,0.0,0.0
15,5,1.0,1.9438484848484847,0.09523809523809523,42.940000000000005,6.32429362943153,1.0,0.0,0.0
16,5,1.0,0.8616969696969697,0.0761904761904762,22.54,3.3140605583110636,1.0,0.0,0.0
17,5,1.0,0.752030303030303,0.0761904761904762,10.78,2.9252228290706017,1.0,0.0,0.0
18,5,1.0,1.8000000000000003,0.06666666666666667,4.3,2.241160341223079,1.0,0.0,0.0
19,5,1.0,1.3138181818181818,0.09523809523809523,12.939999999999998,3.7799668843618277,0.9,0.2,0.0
20,5,1.0,1.2606060606060605,0.08571428571428572,16.119999999999997,3.7726182385568445,1.0,0.0,0.0
21,5,1.0,1.0534848484848485,0.0761904761904762,12.379999999999999,3.980522909712774,1.0,0.0,0.0
