i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,1.0,1.3030303030303032,0.12380952380952381,7.480000000000001,2.6636274758962832,1.0,0.0,0.0
1,5,1.0,1.7899999999999998,0.11428571428571428,11.7,3.2666585859680417,1.0,0.0,0.0
2,5,1.0,2.166666666666667,0.06666666666666667,9.279999999999998,3.956166152338777,1.0,0.0,0.0
3,5,1.0,2.24969696969697,0.11428571428571428,9.58,3.7707034133550397,1.0,0.0,0.0
4,4,1.0,2.503787878787879,0.14285714285714285,7.983333333333334,2.7703743329168833,1.0,0.0,0.0
5,4,1.0,2.565151515151515,0.17857142857142858,17.7,3.6488558411288317,1.0,0.0,0.0
6,5,1.0,1.8236363636363635,0.10476190476190476,5.800000000000002,4.361360571444143,1.0,0.0,0.0
7,4,1.0,1.3996212121212122,0.11904761904761904,4.333333333333333,2.8979594446384898,1.0,0.0,0.0
8,4,1.0,2.3621212121212123,0.14285714285714285,9.666666666666668,2.815218291505006,1.0,0.0,0.0
9,4,1.0,2.5537878787878787,0.14285714285714285,6.2,2.5331879581799415,1.0,0.0,0.0
10,5,1.0,1.7854545454545456,0.10476190476190476,5.68,2.889402174504574,1.0,0.0,0.0
11,5,1.0,1.5715151515151518,0.1523809523809524,5.0,4.659412224250568,1.0,0.0,0.0
12,5,1.0,1.653030303030303,0.13333333333333333,4.24,2.4471838399368093,1.0,0.0,0.0
13,5,1.0,1.26,0.13333333333333333,6.119999999999999,2.7787429500951113,1.0,0.0,0.0
14,4,1.0,1.5018939393939394,0.14285714285714285,8.950000000000001,1.9536078080171877,1.0,0.0,0.0
15,4,1.0,4.099242424242425,0.20238095238095238,27.616666666666664,4.995184139081702,1.0,0.0,0.0
16,5,1.0,1.3348484848484847,0.10476190476190476,8.2,2.9933985001181993,1.0,0.0,0.0
17,5,1.0,1.220909090909091,0.11428571428571428,8.28,2.581360483795154,1.0,0.0,0.0
18,5,1.0,2.832121212121212,0.12380952380952381,9.1,2.5044596934351246,1.0,0.0,0.0
19,5,1.0,1.9263636363636365,0.18095238095238095,13.14,3.093080385942377,1.0,0.0,0.0
20,5,1.0,2.5775757575757576,0.1619047619047619,7.719999999999999,3.1357975773787086,1.0,0.0,0.0
21,5,1.0,1.711212121212121,0.13333333333333333,11.219999999999999,3.70855714276042,1.0,0.0,0.0
