run_id,cell_name,seed,AUC,validity,actionability,wrong_dir_violations,immutable_violations,sparsity,proximity_L1,diversity
run_20260517_1858,seed_7,7,0.8221058086080031,0.795,0.9790000000000001,0.0,0.0,0.07171428571428567,1.3607196969696969,12.8826
run_20260517_1823,seed_42,42,0.823318976585703,0.8079999999999999,0.9880000000000001,0.0,0.0,0.07238095238095235,1.4710469696969697,14.7095
run_20260517_1835,seed_123,123,0.822380778686209,0.7979999999999999,0.975,0.0,0.0,0.06999999999999998,1.4238863636363635,14.929400000000001
run_20260517_1847,seed_2024,2024,0.8182586179665717,0.7930000000000001,0.9740000000000001,0.0,0.0,0.07085714285714283,1.411651515151515,14.8929
run_20260517_1908,seed_31337,31337,0.8199412805489485,0.7979999999999999,0.9719999999999999,0.0,0.0,0.07176190476190474,1.4396060606060608,14.7104
MEAN,—,—,0.8212010924790871,0.7984,0.9776,0.0,0.0,0.07134285714285712,1.4213821212121212,14.424959999999999
STD,—,—,0.0020579653948968836,0.00577061521850134,0.0063482280992416176,0.0,0.0,0.0009260649933358238,0.04055735069457476,0.8681504667970871
