metric,global,per_query,delta_abs,rel_delta_pct
validity,0.775,0.83,0.05499999999999994,7.096774193548379
proximity,1.4296651515151513,1.5292590909090906,0.09959393939393935,6.966242360205131
sparsity,0.06761904761904763,0.07123809523809524,0.003619047619047605,5.352112676056316
diversity,15.562000000000001,14.1089,-1.453100000000001,-9.33748875465879
plausibility,4.288802730844861,3.999114787740581,-0.2896879431042798,-6.754517782337206
actionability,0.6615000000000001,0.9840000000000001,0.3225,48.752834467120174
wrong_dir_violations,0.4640000000000001,0.0,-0.4640000000000001,-100.0
immutable_violations,0.0,0.0,0.0,
