feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,15,16,12,4,0,0.5,0.75,0.25
Fruits,monotonic_up,global,24,24,13,11,0,0.08333333333333333,0.5416666666666666,0.4583333333333333
Veggies,monotonic_up,global,18,18,0,18,0,-1.0,0.0,1.0
AnyHealthcare,monotonic_up,global,29,31,0,31,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,121,182,0,182,0,-1.0,0.0,1.0
Education,monotonic_up,global,45,53,17,36,0,-1.1132075471698113,0.32075471698113206,0.6792452830188679
Income,monotonic_up,global,45,54,44,10,0,3.314814814814815,0.8148148148148148,0.18518518518518517
Smoker,monotonic_down,global,22,23,11,12,0,0.043478260869565216,0.4782608695652174,0.5217391304347826
HvyAlcoholConsump,monotonic_down,global,55,70,1,69,0,0.9714285714285714,0.014285714285714285,0.9857142857142858
NoDocbcCost,monotonic_down,global,16,18,0,18,0,1.0,0.0,1.0
HighBP,monotonic_down,global,76,100,100,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,70,87,87,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,global,88,136,133,3,0,-2.1838235294117645,0.9779411764705882,0.022058823529411766
MentHlth,monotonic_down,global,55,65,28,37,0,2.6923076923076925,0.4307692307692308,0.5692307692307692
PhysHlth,monotonic_down,global,44,48,36,12,0,-7.520833333333333,0.75,0.25
BMI,bidirectional,global,180,461,461,0,0,-21.110845986984813,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,25,26,26,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,14,17,17,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,7,7,7,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,41,48,48,0,0,1.5416666666666667,1.0,0.0
Income,monotonic_up,per_query,86,117,117,0,0,4.487179487179487,1.0,0.0
Smoker,monotonic_down,per_query,15,16,16,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,1,1,1,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,102,139,139,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,76,103,103,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,125,203,203,0,0,-2.1182266009852215,1.0,0.0
MentHlth,monotonic_down,per_query,34,39,39,0,0,-11.23076923076923,1.0,0.0
PhysHlth,monotonic_down,per_query,52,62,62,0,0,-13.048387096774194,1.0,0.0
BMI,bidirectional,per_query,197,710,710,0,0,-20.59676056338028,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
