metric,global,per_query,delta
validity,0.7979999999999999,0.8290000000000001,0.03100000000000014
proximity_L1,1.7854939393939395,1.9059863636363636,0.12049242424242412
sparsity,0.06976190476190476,0.07309523809523809,0.003333333333333327
diversity,17.1854,13.568,-3.6174000000000017
plausibility_kNN50,4.869729247135083,4.381305050548651,-0.48842419658643177
actionability,0.7134999999999999,0.9940000000000001,0.2805000000000002
wrong_direction_violations,0.41700000000000004,0.0,-0.41700000000000004
immutable_violations,0.0,0.0,0.0
