i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,10,0.5,0.6816666666666668,0.05714285714285714,13.979999999999999,3.154852231429693,0.9,0.0,0.0
1,10,0.7,0.9954545454545454,0.06666666666666667,13.104444444444443,3.3870101573927114,1.0,0.0,0.0
2,10,0.9,1.707121212121212,0.09047619047619047,26.65777777777777,8.018389647203302,1.0,0.0,0.0
3,10,0.9,1.3437878787878788,0.06190476190476191,22.191111111111113,4.784519192084808,1.0,0.0,0.0
4,10,0.9,1.8812121212121213,0.08095238095238096,9.782222222222224,2.989093082302845,1.0,0.0,0.0
5,10,0.7,1.2781818181818183,0.0761904761904762,16.61777777777778,4.865207932308907,1.0,0.0,0.0
6,10,0.9,1.496969696969697,0.08571428571428572,19.90666666666667,4.935116704717389,1.0,0.0,0.0
7,10,0.7,1.1434848484848483,0.07142857142857142,12.666666666666664,3.21101132617959,1.0,0.0,0.0
8,10,0.9,1.5169696969696969,0.09047619047619047,12.17111111111111,3.1906194429497763,1.0,0.0,0.0
9,10,0.4,1.0115151515151513,0.06666666666666667,13.693333333333335,3.6573639868023724,1.0,0.0,0.0
10,10,1.0,1.1424242424242423,0.06190476190476191,5.204444444444444,3.070586339648723,1.0,0.0,0.0
11,10,0.9,1.2178787878787878,0.0761904761904762,8.86888888888889,4.899788510771368,1.0,0.0,0.0
12,10,0.8,1.1087878787878789,0.07142857142857142,5.96,2.552199848245123,1.0,0.0,0.0
13,10,0.7,1.1,0.05714285714285714,11.833333333333334,3.5185339477495163,0.9,0.0,0.0
14,10,0.7,1.2475757575757576,0.08095238095238096,12.86888888888889,2.290056269737434,1.0,0.0,0.0
15,10,0.8,1.309090909090909,0.07142857142857142,20.993333333333336,6.506459912301527,1.0,0.0,0.0
16,10,0.8,0.8796969696969696,0.06666666666666667,8.61111111111111,3.1961038073177916,1.0,0.0,0.0
17,10,0.9,1.148181818181818,0.06666666666666667,9.986666666666666,3.071185622793255,1.0,0.0,0.0
18,10,0.8,1.476060606060606,0.06190476190476191,13.955555555555552,2.526865630167612,0.9,0.0,0.0
19,10,1.0,1.1286363636363637,0.06666666666666667,14.61555555555556,3.5022856757365473,1.0,0.0,0.0
20,10,0.7,1.5042424242424244,0.0761904761904762,14.815555555555557,3.3657215809518446,1.0,0.0,0.0
21,10,0.8,1.2992424242424243,0.08095238095238096,12.831111111111113,4.051782559740623,1.0,0.0,0.0
22,10,1.0,1.4922727272727274,0.07142857142857142,9.504444444444443,3.569212790943311,1.0,0.0,0.0
23,10,1.0,1.0307575757575758,0.0761904761904762,5.786666666666667,2.560304194124178,1.0,0.0,0.0
24,10,1.0,1.0865151515151517,0.06666666666666667,8.888888888888888,2.6072805506488734,1.0,0.0,0.0
25,10,0.7,1.2348484848484849,0.07142857142857142,17.92,4.476993346678649,0.9,0.0,0.0
26,10,1.0,1.5451515151515152,0.0761904761904762,16.06666666666667,2.8833154826891523,1.0,0.0,0.0
27,10,0.9,1.0957575757575757,0.06666666666666667,16.60222222222222,3.3568391070073287,1.0,0.0,0.0
28,10,0.9,1.0566666666666664,0.07142857142857142,15.542222222222223,5.468024329594741,1.0,0.0,0.0
29,10,0.9,1.2719696969696972,0.09047619047619047,7.517777777777777,2.1621628930714523,1.0,0.0,0.0
30,10,0.7,0.9345454545454548,0.05714285714285714,12.480000000000002,5.639194985505822,0.9,0.0,0.0
31,10,0.7,0.9051515151515153,0.07142857142857142,10.228888888888887,4.441909097978661,1.0,0.0,0.0
32,10,0.9,1.3033333333333332,0.08095238095238096,12.995555555555555,5.54929186526932,1.0,0.0,0.0
33,10,0.8,2.793333333333334,0.07142857142857142,37.06000000000001,6.770167152313999,1.0,0.0,0.0
34,10,1.0,1.6222727272727273,0.08571428571428572,18.333333333333332,3.4735135352698845,1.0,0.0,0.0
35,10,0.8,1.0195454545454545,0.0761904761904762,14.613333333333333,4.7639718115914516,1.0,0.0,0.0
36,10,0.4,0.9571212121212123,0.07142857142857142,15.846666666666668,2.8891341768992818,1.0,0.0,0.0
37,10,1.0,1.2057575757575756,0.08095238095238096,22.797777777777778,5.474430865693882,1.0,0.0,0.0
38,10,0.9,1.1465151515151517,0.0761904761904762,20.87111111111111,3.2964990962367446,1.0,0.0,0.0
39,10,1.0,1.4863636363636363,0.08095238095238096,10.862222222222222,3.492804004393804,1.0,0.0,0.0
40,10,0.6,0.8287878787878787,0.05714285714285714,8.97111111111111,3.151650710072451,0.9,0.0,0.0
41,10,0.6,1.3366666666666667,0.0761904761904762,12.188888888888892,4.057997659374918,1.0,0.0,0.0
42,10,0.7,0.8245454545454546,0.06666666666666667,8.399999999999999,3.0799455543739214,1.0,0.0,0.0
43,10,0.8,1.2813636363636363,0.06190476190476191,16.34888888888889,3.686449300921857,0.9,0.0,0.0
44,10,0.5,0.8884848484848484,0.05714285714285714,6.520000000000002,5.121796794654262,0.9,0.0,0.0
45,10,0.7,0.9883333333333335,0.0761904761904762,12.017777777777779,2.9686607022675777,1.0,0.0,0.0
46,10,1.0,1.0606060606060606,0.06666666666666667,4.397777777777778,4.213723345490913,1.0,0.0,0.0
47,10,0.7,0.948030303030303,0.07142857142857142,11.417777777777777,3.481715830352892,1.0,0.0,0.0
48,10,0.6,0.8980303030303031,0.07142857142857142,4.331111111111112,4.4071406372542645,1.0,0.0,0.0
49,10,0.8,1.403333333333333,0.06190476190476191,24.895555555555553,7.622040368534633,0.9,0.0,0.0
50,10,0.5,1.0853030303030302,0.07142857142857142,5.606666666666667,3.1979442526510176,1.0,0.0,0.0
51,10,0.9,0.7953030303030303,0.07142857142857142,12.159999999999998,3.411300797573365,1.0,0.0,0.0
52,10,0.7,1.3025757575757577,0.06666666666666667,16.87111111111111,5.756181734448247,0.9,0.0,0.0
53,10,0.9,1.2224242424242424,0.07142857142857142,17.257777777777775,3.100014762169163,1.0,0.0,0.0
